verdant:   adj. Green with vegetation. 
ambulance:   n. A vehicle fitted for conveying the sick and wounded. 
anthropomorphous:   adj. Having or resembling human form. 
scruple:   n. Doubt or uncertainty regarding a question of moral right or duty. 
offhand:   adv. Without preparation. 
metonymy:   n. A figure of speech that consists in the naming of a thing by one of its attributes. 
ardor:   n. Intensity of passion or affection. 
technography:   n. The scientific description or study of human arts and industries in their historic development.
cadence:   n. Rhythmical or measured flow or movement, as in poetry or the time and pace of marching troops. 
writing:   n. The act or art of tracing or inscribing on a surface letters or ideographs. 
vehement:   adj. Very eager or urgent. 
palliate:   v. To cause to appear less guilty. 
component:   n. A constituent element or part. 
intromit:   v. To insert. 
peaceful:   adj. Tranquil. 
ribald:   adj. Indulging in or manifesting coarse indecency or obscenity. 
dilettante:   n. A superficial amateur. 
kinsfolk:   n. pl. Relatives. 
unicellular:   adj. Consisting of a single cell. 
quarantine:   n. The enforced isolation of any person or place infected with contagious disease. 
plea:   n. An argument to obtain some desired action. 
enfranchise:   v. To endow with a privilege, especially with the right to vote. 
predicate:   v. To state as belonging to something. 
polygon:   n. A figure having many angles. 
biograph:   n. A bibliographical sketch or notice. 
pomposity:   n. The quality of being marked by an assumed stateliness and impressiveness of manner. 
transmute:   v. To change in nature, substance, or form. 
divisor:   n. That by which a number or quantity is divided. 
paraphernalia:   n. Miscellaneous articles of equipment or adornment. 
durance:   n. Confinement. 
superabundance:   n. An excessive amount. 
divulge:   v. To tell or make known, as something previously private or secret. 
toilsome:   adj. Laborious. 
chattel:   n. Any article of personal property. 
intention:   n. That upon which the mind is set. 
prudential:   adj. Proceeding or marked by caution. 
indestructible:   adj. That can not be destroyed. 
bier:   n. A horizontal framework with two handles at each end for carrying a corpse to the grave. 
superfluity:   n. That part of anything that is in excess of what is needed. 
illuminant:   n. That which may be used to produce light. 
evangelist:   n. A preacher who goes from place to place holding services. 
picayune:   adj. Of small value. 
coalescence:   n. The act or process of coming together so as to form one body, combination, or product. 
transgress:   v. To break a law. 
compression:   n. Constraint, as by force or authority. 
clairvoyance:   n. Intuitive sagacity or perception. 
submersible:   adj. Capable of being put underwater. 
peerage:   n. The nobility. 
pneumatic:   adj. Pertaining to or consisting of air or gas. 
repulsive:   adj. Grossly offensive. 
perverse:   adj. Unreasonable. 
lunacy:   n. Mental unsoundness. 
afresh:   adv. Once more, after rest or interval. 
inject:   v. To introduce, as a fluid, by injection. 
complaisance:   n. Politeness. 
perfunctory:   adj. Half-hearted. 
malevolent:   adj. Wishing evil to others. 
transmit:   v. To send trough or across. 
witless:   adj. Foolish, indiscreet, or silly. 
sarcophagus:   n. A stone coffin or a chest-like tomb. 
intellectual:   adj. Characterized by intelligence. 
corporal:   adj. Belonging or relating to the body as opposed to the mind. 
odium:   n. A feeling of extreme repugnance, or of dislike and disgust. 
minutia:   n. A small or unimportant particular or detail. 
annual:   adj. Occurring every year. 
makeup:   n. The arrangements or combination of the parts of which anything is composed. 
jovial:   adj. Merry. 
tireless:   adj. Untiring. 
subterranean:   adj. Situated or occurring below the surface of the earth. 
recline:   v. To cause to assume a leaning or recumbent attitude or position. 
hypocrisy:   n. Extreme insincerity. 
corps:   n. A number or body of persons in some way associated or acting together. 
glacier:   n. A field or stream of ice. 
doe:   n. The female of the deer. 
acknowledgment:   n. Recognition. 
inbred:   adj. Innate. 
mnemonics:   n. A system of principles and formulas designed to assist the recollection in certain instances. 
foreigner:   n. A citizen of a foreign country. 
light-hearted:   adj. Free from care. 
erudition:   n. Extensive knowledge of literature, history, language, etc. 
arbitrate:   v. To act or give judgment as umpire. 
mentor:   n. A wise and faithful teacher, guide, and friend. 
premier:   adj. First in rank or position. 
sequent:   adj. Following in the order of time. 
trammel:   n. An impediment. 
aural:   adj. Of or pertaining to the ear. 
literature:   n. The written or printed productions of the human mind collectively. 
deficient:   adj. Not having an adequate or proper supply or amount. 
absurd:   adj. Inconsistent with reason or common sense. 
referee:   n. An umpire. 
comprehensive:   adj. Large in scope or content. 
radiate:   v. To extend in all directions, as from a source or focus. 
anemic:   adj. Affected with anemia. 
ultramundane:   adj. Pertaining to supernatural things or to another life. 
authentic:   adj. Of undisputed origin. 
possess:   v. To own. 
inmost:   adj. Deepest within. 
aerostat:   n. A balloon or other apparatus floating in or sustained by the air. 
frantic:   adj. Frenzied. 
narrator:   n. One who narrates anything. 
possession:   n. The having, holding, or detention of property in one's power or command. 
concession:   n. Anything granted or yielded, or admitted in response to a demand, petition, or claim. 
infamous:   adj. Publicly branded or notorious, as for vice, or crime. 
hemorrhoids:   n. pl. Tumors composed of enlarged and thickened blood-vessels, at the lower end of the rectum. 
excavate:   v. To remove by digging or scooping out. 
interpreter:   n. A person who makes intelligible the speech of a foreigner by oral translation. 
propitious:   adj. Kindly disposed. 
intracellular:   adj. Occurring or situated within a cell. 
proctor:   n. An agent acting for another. 
isobar:   n. A line joining points at which the barometric pressure is the same at a specified moment. 
opulent:   adj. Wealthy. 
monocracy:   n. Government by a single person. 
quadrate:   v. To divide into quarters. 
laddie:   n. A lad. 
progeny:   n. Offspring. 
evanesce:   v. To vanish gradually. 
complex:   adj. Complicated. 
disobedient:   adj. Neglecting or refusing to obey. 
regiment:   n. A body of soldiers. 
disparity:   n. Inequality. 
Martian:   adj. Pertaining to Mars, either the Roman god of war or the planet. 
occasion:   n. An important event or celebration. 
trepidation:   n. Nervous uncertainty of feeling. 
palate:   n. The roof of the mouth. 
maniac:   n. a person raving with madness. 
euphemism:   n. A figure of speech by which a phrase less offensive is substituted. 
seer:   n. A prophet. 
inventive:   adj. Quick at contrivance. 
Christendom:   n. That part of the world where Christianity is generally professed. 
repugnant:   adj. Offensive to taste and feeling. 
paramount:   adj. Supreme in authority. 
ligament:   n. That which binds objects together. 
bureau:   n. A chest of drawers for clothing, etc. 
prominent:   adj. Conspicuous in position, character, or importance. 
demonstrative:   adj. Inclined to strong exhibition or expression of feeling or thoughts. 
dispensation:   n. That which is bestowed on or appointed to one from a higher power. 
morale:   n. A state of mind with reference to confidence, courage, zeal, and the like. 
potion:   n. A dose of liquid medicine. 
parlor:   n. A room for reception of callers or entertainment of guests. 
specie:   n. A coin or coins of gold, silver, copper, or other metal. 
honorarium:   n. A token fee or payment to a professional man for services. 
slight:   adj. Of a small importance or significance. 
laudable:   adj. Praiseworthy. 
disfavor:   n. Disregard. 
apparition:   n. Ghost. 
donate:   v. To bestow as a gift, especially for a worthy cause. 
chronometer:   n. A portable timekeeper of the highest attainable precision. 
expedite:   v. To hasten the movement or progress of. 
determinate:   adj. Definitely limited or fixed. 
antique:   adj. Pertaining to ancient times. 
arrant:   adj. Notoriously bad. 
obstinacy:   n. Stubborn adherence to opinion, arising from conceit or the desire to have one's own way. 
eclipse:   n. The obstruction of a heavenly body by its entering into the shadow of another body. 
tantalize:   v. To tease. 
commentary:   n. A series of illustrative or explanatory notes on any important work. 
superintendence:   n. Direction and management. 
sluggard:   n. A person habitually lazy or idle. 
minimize:   v. To reduce to the smallest possible amount or degree. 
stimulant:   n. Anything that rouses to activity or to quickened action. 
resemblance:   n. Similarity in quality or form. 
candid:   adj. Straightforward. 
culinary:   adj. Of or pertaining to cooking or the kitchen. 
reflector:   n. A mirror, as of metal, for reflecting light, heat, or sound in a particular direction. 
baritone:   adj. Having a register higher than bass and lower than tenor. 
illuminate:   v. To supply with light. 
superadd:   v. To add in addition to what has been added. 
inconvenient:   adj. Interfering with comfort or progress. 
grandiloquent:   adj. Speaking in or characterized by a pompous or bombastic style. 
actuate:   v. To move or incite to action. 
preponderate:   v. To exceed in influence or power. 
luminescent:   adj. Showing increase of light. 
intrinsic:   adj. Inherent. 
nomic:   adj. Usual or customary. 
instigator:   n. One who incites to evil. 
operator:   n. One who works with or controls some machine or scientific apparatus. 
principality:   n. The territory of a reigning prince. 
emerge:   v. To come into view or into existence. 
corporate:   adj. Belonging to a corporation. 
refringency:   n. Power to refract. 
converge:   v. To cause to incline and approach nearer together. 
dissolve:   v. To liquefy or soften, as by heat or moisture. 
creed:   n. A formal summary of fundamental points of religious belief. 
papacy:   n. The official head of the Roman Catholic Church. 
abridgment:   n. A condensed form as of a book or play. 
clan:   n. A tribe. 
locomotion:   n. The act or power of moving from one place to another. 
collapse:   v. To cause to shrink, fall in, or fail. 
sirocco:   n. hot winds from Africa. 
furtherance:   n. Advancement. 
insinuate:   v. To imply. 
estrange:   v. To alienate. 
sapience:   n. Deep wisdom or knowledge. 
came:   n. A leaden sash-bar or grooved strip for fastening panes in stained-glass windows. 
outcry:   n. A vehement or loud cry or clamor. 
obese:   adj. Exceedingly fat. 
autonomy:   n. Self-government. 
artless:   adj. Ingenuous. 
negligee:   n. A loose gown worn by women. 
statuesque:   adj. Having the grace, pose, or quietude of a statue. 
thrall:   n. One controlled by an appetite or a passion. 
intervale:   n. A low tract of land between hills, especially along a river. 
tack:   n. A small sharp-pointed nail. 
synonym:   n. A word having the same or almost the same meaning as some other. 
flue:   n. A smoke-duct in a chimney. 
proviso:   n. A clause in a contract, will, etc., by which its operation is rendered conditional. 
tolerate:   v. To passively permit or put up with. 
barometer:   n. An instrument for indicating the atmospheric pressure per unit of surface. 
tyrannical:   adj. Despotic. 
recitation:   n. The act of reciting or repeating, especially in public and from memory. 
surround:   v. To encircle. 
grimace:   n. A distortion of the features, occasioned by some feeling of pain, disgust, etc. 
inveterate:   adj. Habitual. 
graceless:   adj. Ungracious. 
analyst:   n. One who analyzes or makes use of the analytical method. 
partible:   adj. Separable. 
virulence:   n. Extreme poisonousness. 
dilapidated:   pa. Fallen into decay or partial ruin. 
misdemeanor:   n. Evil conduct, small crime. 
cosmos:   n. The world or universe considered as a system, perfect in order and arrangement. 
antilogy:   n. Inconsistency or contradiction in terms or ideas. 
aggress:   v. To make the first attack. 
misdeed:   n. A wrong or improper act. 
ennoble:   v. To dignify. 
reclusory:   n. A hermitage. 
heresy:   n. An opinion or doctrine subversive of settled beliefs or accepted principles. 
liege:   adj. Sovereign. 
consignee:   n. A person to whom goods or other property has been entrusted. 
oral:   adj. Uttered through the mouth. 
tenant:   n. An occupant. 
shriek:   n. A sharp, shrill outcry or scream, caused by agony or terror. 
incapacitate:   v. To deprive of power, capacity, competency, or qualification. 
transferee:   n. The person to whom a transfer is made. 
curtail:   v. To cut off or cut short. 
effulgence:   n. Splendor. 
gaseous:   adj. Light and unsubstantial. 
benevolent:   adj. Loving others and actively desirous of their well-being. 
well-bred:   adj. Of good ancestry. 
sanguine:   adj. Having the color of blood. 
protector:   n. A defender. 
yearling:   n. A young animal past its first year and not yet two years old. 
surmount:   v. To overcome by force of will. 
rejuvenate:   v. To restore to youth. 
tyranny:   n. Absolute power arbitrarily or unjustly administrated. 
equivocal:   adj. Ambiguous. 
obtrude:   v. To be pushed or to push oneself into undue prominence. 
allay:   v. To calm the violence or reduce the intensity of; mitigate. 
underrate:   v. To undervalue. 
imminent:   adj. Dangerous and close at hand. 
viola:   n. A musical instrument somewhat larger than a violin. 
prescient:   adj. Foreknowing. 
orthopedist:   n. One who practices the correcting or preventing of deformity 
degrade:   v. To take away honors or position from. 
knighthood:   n. Chivalry. 
inundate:   v. To fill with an overflowing abundance. 
refringent:   adj. Having the power to refract. 
malefactor:   n. One who injures another. 
fallow:   n. Land broken up and left to become mellow or to rest. 
undersized:   adj. Of less than the customary size. 
pendant:   n. Anything that hangs from something else, either for ornament or for use. 
vicarious:   adj. Suffered or done in place of or for the sake of another. 
abrupt:   adj. Beginning, ending, or changing suddenly or with a break. 
vaudeville:   n. A variety show. 
sterling:   adj. Genuine. 
epicure:   n. One who cultivates a delicate taste for eating and drinking. 
magnet:   n. A body possessing that peculiar form of polarity found in nature in the lodestone. 
debatable:   adj. Subject to contention or dispute. 
septennial:   adj. Recurring every seven years. 
handwriting:   n. Penmanship. 
susceptible:   adj. Easily under a specified power or influence. 
assassin:   n. One who kills, or tries to kill, treacherously or secretly. 
bronchitis:   n. Inflammation of the bronchial tubes. 
suppress:   v. To prevent from being disclosed or punished. 
volition:   n. An act or exercise of will. 
trivial:   adj. Of little importance or value. 
sardonic:   adj. Scornfully or bitterly sarcastic. 
philanthropy:   n. Active humanitarianism. 
monologue:   n. A story or drama told or performed by one person. 
gumption:   n. Common sense. 
preface:   n. A brief explanation or address to the reader, at the beginning of a book. 
prudery:   n. An undue display of modesty or delicacy. 
periodicity:   n. The habit or characteristic of recurrence at regular intervals. 
iridescence:   n. A many-colored appearance. 
conspire:   v. To plot. 
archipelago:   n. Any large body of water studded with islands, or the islands collectively themselves. 
bigamy:   n. The crime of marrying any other person while having a legal spouse living. 
bask:   v. To make warm by genial heat. 
sociable:   adj. Inclined to seek company. 
intercede:   v. To mediate between persons. 
poignancy:   n. Severity or acuteness, especially of pain or grief. 
joggle:   n. A sudden irregular shake or a push causing such a shake. 
punctual:   adj. Observant and exact in points of time. 
scythe:   n. A long curved blade for mowing, reaping, etc. 
inconsistent:   adj. Contradictory. 
justification:   n. Vindication. 
succulent:   adj. Juicy. 
relish:   v. To like the taste or savor of. 
bibulous:   adj. Fond of drinking. 
tentative:   adj. Done as an experiment. 
descendent:   adj. Proceeding downward. 
inflexible:   adj. That can not be altered or varied. 
beset:   v. To attack on all sides. 
generally:   adv. Ordinarily. 
nostrum:   n. Any scheme or recipe of a charlatan character. 
supposition:   n. Conjecture. 
rampant:   adj. Growing, climbing, or running without check or restraint. 
inhospitable:   adj. Not disposed to entertain strangers gratuitously. 
inexorable:   adj. Unrelenting. 
antipathize:   v. To show or feel a feeling of antagonism, aversion, or dislike. 
anxious:   adj. Distressed in mind respecting some uncertain matter. 
sophistical:   adj. Fallacious. 
antediluvian:   adj. Of or pertaining to the times, things, events before the great flood in the days of Noah.
loiterer:   n. One who consumes time idly. 
transcontinental:   adj. Extending or passing across a continent. 
sensorium:   n. The sensory apparatus. 
frigid:   adj. Lacking warmth. 
percussion:   n. The sharp striking of one body against another. 
negation:   n. The act of denying or of asserting the falsity of a proposition. 
sympathetic:   adj. Having a fellow-feeling for or like feelings with another or others. 
imitator:   n. One who makes in imitation. 
millet:   n. A grass cultivated for forage and cereal. 
refinery:   n. A place where some crude material, as sugar or petroleum, is purified. 
maleficent:   adj. Mischievous. 
affectation:   n. A studied or ostentatious pretense or attempt. 
irrepressible:   adj. That can not be restrained or kept down. 
apotheosis:   n. Deification. 
introductory:   adj. Preliminary. 
pandemonium:   n. A fiendish or riotous uproar. 
flatulence:   n. Accumulation of gas in the stomach and bowels. 
omnivorous:   adj. Eating or living upon food of all kinds indiscriminately. 
disown:   v. To refuse to acknowledge as one's own or as connected with oneself. 
inexcusable:   adj. Not to be justified. 
convivial:   adj. Devoted to feasting, or to good-fellowship in eating or drinking. 
apogee:   n. The climax. 
metric:   adj. Relating to measurement. 
valedictorian:   n. Student who delivers an address at graduating exercises of an educational institution. 
virtu:   n. Rare, curious, or beautiful quality. 
complement:   v. To make complete. 
deficiency:   n. Lack or insufficiency. 
drudgery:   n. Hard and constant work in any menial or dull occupation. 
iota:   n. A small or insignificant mark or part. 
antiphon:   n. A response or alteration of responses, generally musical. 
centenary:   adj. Pertaining to a hundred years or a period of a hundred years. 
dolorous:   adj. Expressing or causing sorrow or pain. 
outlandish:   adj. Of barbarous, uncouth, and unfamiliar aspect or action. 
proclamation:   n. Any announcement made in a public manner. 
disinfectant:   n. A substance used to destroy the germs of infectious diseases. 
noticeable:   adj. Perceptible. 
aristocracy:   n. A hereditary nobility 
docile:   adj. Easy to manage. 
latency:   n. The state of being dormant. 
pauperism:   n. Dependence on charity. 
confessor:   n. A spiritual advisor. 
lieu:   n. Stead. 
mesmerize:   v. To hypnotize. 
matricide:   n. The killing, especially the murdering, of one's mother. 
grievance:   n. That which oppresses, injures, or causes grief and at the same time a sense of wrong. 
anticyclone:   n. An atmospheric condition of high central pressure, with currents flowing outward. 
monogram:   n. A character consisting of two or more letters interwoven into one, usually initials of a name. 
contender:   n. One who exerts oneself in opposition or rivalry. 
martyrdom:   n. Submission to death or persecution for the sake of faith or principle. 
anathema:   n. Anything forbidden, as by social usage. 
pandemic:   adj. Affecting a whole people or all classes, as a disease. 
enamor:   v. To inspire with ardent love. 
perfectible:   adj. Capable of being made perfect. 
rectify:   v. To correct. 
centiliter:   n. A hundredth of a liter. 
resplendent:   adj. Very bright. 
flora:   n. The aggregate of plants growing without cultivation in a district. 
observance:   n. A traditional form or customary act. 
ridicule:   n. Looks or acts expressing amused contempt. 
engross:   v. To occupy completely. 
importunate:   adj. Urgent in character, request, or demand. 
sinister:   adj. Evil. 
athirst:   adj. Wanting water. 
rehabilitate:   v. To restore to a former status, capacity, right rank, or privilege. 
pall:   v. To make dull by satiety. 
gaily:   adv. Merrily. 
wampum:   n. Beads strung on threads, formerly used among the American Indians as currency. 
angelic:   adj. Saintly. 
harangue:   n. A tirade. 
hernia:   n. Protrusion of any internal organ in whole or in part from its normal position. 
nautical:   adj. Pertaining to ships, seamen, or navigation. 
magnate:   n. A person of rank or importance. 
culprit:   n. A guilty person. 
marine:   adj. Of or pertaining to the sea or matters connected with the sea. 
repel:   v. To force or keep back in a manner, physically or mentally. 
elapse:   v. To quietly terminate
freshness:   n. The state, quality, or degree of being fresh. 
debase:   v. To lower in character or virtue. 
assuage:   v. To cause to be less harsh, violent, or severe, as excitement, appetite, pain, or disease. 
mistrust:   v. To regard with suspicion or jealousy. 
instigate:   v. To provoke. 
assonant:   adj. Having resemblance of sound. 
untimely:   adj. Unseasonable. 
crevice:   n. A small fissure, as between two contiguous surfaces. 
transfer:   v. To convey, remove, or cause to pass from one person or place to another. 
personality:   n. The attributes, taken collectively, that make up the character and nature of an individual. 
temporary:   adj. Lasting for a short time only. 
infinite:   adj. Measureless. 
aggrandize:   v. To cause to appear greatly. 
optician:   n. One who makes or deals in optical instruments or eye-glasses. 
conclusive:   adj. Sufficient to convince or decide. 
populous:   adj. Containing many inhabitants, especially in proportion to the territory. 
distensible:   adj. Capable of being stretched out or expanded in every direction. 
keepsake:   n. Anything kept or given to be kept for the sake of the giver. 
annalist:   n. Historian. 
oblique:   adj. Slanting; said of lines. 
elucidate:   v. To bring out more clearly the facts concerning. 
conservatory:   n. An institution for instruction and training in music and declamation. 
mantle:   n. A cloak. 
physique:   n. The physical structure or organization of a person. 
preparation:   n. An act or proceeding designed to bring about some event. 
plumb:   n. A weight suspended by a line to test the verticality of something. 
incarcerate:   v. To imprison. 
metronome:   n. An instrument for indicating and marking exact time in music. 
eliminate:   v. To separate and cast aside. 
bodice:   n. A women's ornamental corset-shaped laced waist. 
improvident:   adj. Lacking foresight or thrift. 
insistence:   n. Urgency. 
prepossession:   n. A preconceived liking. 
disarrange:   v. To throw out of order. 
postscript:   n. Something added to a letter after the writer's signature. 
aggression:   n. An unprovoked attack. 
Neolithic:   adj. Pertaining to the later stone age. 
parable:   n. A brief narrative founded on real scenes or events usually with a moral. 
disinterested:   adj. Impartial. 
passive:   adj. Unresponsive. 
papyrus:   n. The writing-paper of the ancient Egyptians, and later of the Romans. 
enthuse:   v. To yield to or display intense and rapturous feeling. 
citadel:   n. Any strong fortress. 
venal:   adj. Mercenary, corrupt. 
atonement:   n. Amends, reparation, or expiation made from wrong or injury. 
avert:   v. To turn away or aside. 
bosom:   n. The breast or the upper front of the thorax of a human being, especially of a woman. 
contradiction:   n. The assertion of the opposite of that which has been said. 
percolator:   n. A filter. 
adroit:   adj. Having skill in the use of the bodily or mental powers. 
judicious:   adj. Prudent. 
insistent:   adj. Urgent. 
beau:   n. An escort or lover. 
inestimable:   adj. Above price. 
legacy:   n. A bequest. 
indiscernible:   adj. Not perceptible. 
multiplicity:   n. the condition of being manifold or very various. 
curable:   adj. Capable of being remedied or corrected. 
Hibernian:   adj. Pertaining to Ireland, or its people. 
myriad:   n. A vast indefinite number. 
epode:   n. A species of lyric poems. 
archdeacon:   n. A high official administrator of the affairs of a diocese. 
suppressible:   adj. Capable of being suppressed. 
vendition:   n. The act of selling. 
flamboyant:   adj. Characterized by extravagance and in general by want of good taste. 
distill:   v. To extract or produce by vaporization and condensation. 
prevalent:   adj. Of wide extent or frequent occurrence. 
plutocracy:   n. A wealthy class in a political community who control the government by means of their money. 
theocrasy:   n. The mixed worship of polytheism. 
irreverence:   n. The quality showing or expressing a deficiency of veneration, especially for sacred things. 
gastritis:   n. Inflammation of the stomach. 
magnanimous:   adj. Generous in treating or judging others. 
waive:   v. To relinquish, especially temporarily, as a right or claim. 
adversity:   n. Misfortune. 
expedient:   adj. Contributing to personal advantage. 
pare:   v. To cut, shave, or remove (the outside) from anything. 
butt:   v. To strike with or as with the head, or horns. 
destitute:   adj. Poverty-stricken. 
lucid:   adj. Mentally sound. 
quiet:   adj. Making no noise. 
coagulate:   v. To change into a clot or a jelly, as by heat, by chemical action, or by a ferment. 
precedent:   n. An instance that may serve as a guide or basis for a rule. 
inkling:   n. A hint. 
venerate:   v. To cherish reverentially. 
befog:   v. To confuse. 
resumption:   n. The act of taking back, or taking again. 
disservice:   n. An ill turn. 
pentagon:   n. A figure, especially, with five angles and five sides. 
indolence:   n. Laziness. 
contribution:   n. The act of giving for a common purpose. 
pestilential:   adj. having the nature of or breeding pestilence. 
torturous:   adj. Marked by extreme suffering. 
witchcraft:   n. Sorcery. 
microscope:   n. An instrument for assisting the eye in the vision of minute objects or features of objects. 
pungency:   n. The quality of affecting the sense of smell. 
landlord:   n. A man who owns and lets a tenement or tenements. 
inane:   adj. Silly. 
pallid:   adj. Of a pale or wan appearance. 
viceroy:   n. A ruler acting with royal authority in place of the sovereign in a colony or province. 
differentiate:   v. To acquire a distinct and separate character. 
inactive:   adj. Inert. 
remiss:   adj. Negligent. 
sentence:   n. A related group of words containing a subject and a predicate and expressing a complete thought.
revere:   v. To regard with worshipful veneration. 
contravene:   v. To prevent or obstruct the operation of. 
vernal:   adj. Belonging to or suggestive of the spring. 
verily:   adv. In truth. 
inherent:   adj. Intrinsic. 
revile:   v. To heap approach or abuse upon. 
animate:   v. To make alive. 
veracity:   n. Truthfulness. 
nomad:   adj. Having no fixed abode. 
vegetate:   v. To live in a monotonous, passive way without exercise of the mental faculties. 
unconscious:   adj. Not cognizant of objects, actions, etc. 
nimble:   adj. Light and quick in motion or action. 
socialist:   adj. One who advocates reconstruction of society by collective ownership of land and capital. 
quackery:   n. Charlatanry 
scribble:   n. Hasty, careless writing. 
alternate:   n. One chosen to act in place of another, in case of the absence or incapacity of that other. 
voracious:   adj. Eating with greediness or in very large quantities. 
conscript:   v. To force into military service. 
complicity:   n. Participation or partnership, as in wrong-doing or with a wrong-doer. 
biology:   n. The science of life or living organisms. 
testimonial:   n. A formal token of regard, often presented in public. 
weak-kneed:   adj. Without resolute purpose or energy. 
diversion:   n. Pastime. 
requisite:   adj. Necessary. 
pleasant:   adj. Agreeable. 
fluctuate:   v. To pass backward and forward irregularly from one state or degree to another. 
peccadillo:   n. A small breach of propriety or principle. 
possessor:   n. One who owns, enjoys, or controls anything, as property. 
collision:   n. Violent contact. 
prescience:   n. Knowledge of events before they take place. 
deterrent:   adj. Hindering from action through fear. 
jurisdiction:   n. Lawful power or right to exercise official authority. 
augur:   v. To predict. 
disbeliever:   n. One who refuses to believe. 
micrometer:   n. An instrument for measuring very small angles or dimensions. 
cauterize:   v. To burn or sear as with a heated iron. 
impute:   v. To attribute. 
Occident:   n. The countries lying west of Asia and the Turkish dominions. 
henchman:   n. A servile assistant and subordinate. 
canary:   adj. Of a bright but delicate yellow. 
blase:   adj. Sated with pleasure. 
chateau:   n. A castle or manor-house. 
speculator:   n. One who makes an investment that involves a risk of loss, but also a chance of profit. 
Epicurean:   adj. Indulging, ministering, or pertaining to daintiness of appetite. 
ultramontane:   adj. Beyond the mountains, especially beyond the Alps (that is, on their Italian side). 
conformity:   n. Correspondence in form, manner, or use. 
spectrum:   n. An image formed by rays of light or other radiant energy. 
florid:   adj. Flushed with red. 
engrave:   v. To cut or carve in or upon some surface. 
conversant:   adj. Thoroughly informed. 
garrison:   n. The military force stationed in a fort, town, or other place for its defense. 
imperceptible:   adj. Indiscernible. 
irrigant:   adj. Serving to water lands by artificial means. 
explosion:   n. A sudden and violent outbreak. 
sapid:   adj. Affecting the sense of taste. 
recognizance:   n. An acknowledgment entered into before a court with condition to do some particular act. 
huckster:   n. One who retails small wares. 
acme:   n. The highest point, or summit. 
onrush:   n. Onset. 
believe:   v. To accept as true on the testimony or authority of others. 
malcontent:   n. One who is dissatisfied with the existing state of affairs. 
consensus:   n. A collective unanimous opinion of a number of persons. 
dragoon:   n. In the British army, a cavalryman. 
